Lion, Animal
Elephant, Animal
Tiger, Animal
Giraffe, Animal
Monkey, Animal
Dolphin, Animal
Polar Bear, Animal
Penguin, Animal
Koala, Animal
Kangaroo, Animal
Cheetah, Animal
Panda, Animal
Gorilla, Animal
Zebra, Animal
Rhinoceros, Animal
Hippopotamus, Animal
Penguin, Animal
Sloth, Animal
Crocodile, Animal
Eagle, Animal
Pizza, Food
Pasta, Food
Burger, Food
Sushi, Food
Salad, Food
Pancakes, Food
Tacos, Food
Sandwich, Food
Curry, Food
Steak, Food
Soup, Food
Shrimp, Food
Cake, Food
Bacon, Food
Chocolate, Food
Nachos, Food
Smoothie, Food
James, Name
Emily, Name
Liam, Name
Olivia, Name
Benjamin, Name
Sophia, Name
Jackson, Name
Ava, Name
Noah, Name
Isabella, Name
William, Name
Mia, Name
Alexander, Name
Amelia, Name
Ethan, Name
Harper, Name
Henry, Name
Abigail, Name
Lucas, Name
Grace, Name
Mustang, Car
Camaro, Car
Corvette, Car
Civic, Car
Accord, Car
Explorer, Car
Wrangler, Car
Tahoe, Car
Prius, Car
Challenger, Car
Fusion, Car
Escalade, Car
Highlander, Car
Wrangler, Car
Mustang, Car
